hotel_id,hotel_name,location,hotel_type,price_per_night,rating,num_reviews,amenities,amenity_count,user_budget,user_pref_loc,user_pref_type,recommended,location_enc,hotel_type_enc,user_pref_loc_enc,user_pref_type_enc
21,Hotel_0021,Bangalore,Luxury,10895.0,2.0,984.0,"Parking,Beach Access,Restaurant,Spa,Gym,Bar",6,14941.0,Jaipur,Mid-range,0,1,2,6,3
22,Hotel_0022,Hyderabad,Mid-range,2959.0,2.3,988.0,"Bar,Pool,Concierge",3,15954.0,Kolkata,Resort,0,5,3,7,4
23,Hotel_0023,Chennai,Budget,1457.0,3.1,227.0,"Pool,Restaurant",2,9482.0,Goa,Luxury,0,2,1,4,2
24,Hotel_0024,Chennai,Boutique,4390.0,4.2,490.0,"Concierge,Gym,Pool,Bar,Room Service",5,4286.0,Bangalore,Budget,1,2,0,1,1
25,Hotel_0025,Delhi,Resort,14356.0,3.9,1702.0,"Gym,Restaurant,Parking,Spa,Bar",5,6101.0,Chennai,Mid-range,0,3,4,2,3
26,Hotel_0026,Delhi,Resort,18656.0,3.9,703.0,"Pool,Bar,Gym,Concierge",4,14230.0,Bangalore,Boutique,0,3,4,1,0
27,Hotel_0027,Udaipur,Luxury,7587.0,5.0,78.0,"WiFi,Parking,Spa",3,5734.0,Agra,Boutique,0,9,2,0,0
28,Hotel_0028,Udaipur,Boutique,8230.0,3.8,1461.0,"Bar,Room Service,Pool,Parking",4,14338.0,Hyderabad,Budget,0,9,0,5,1
29,Hotel_0029,Jaipur,Luxury,9144.0,3.8,1370.0,"Beach Access,Spa,Concierge,Restaurant,Room Service",5,12425.0,Udaipur,Luxury,0,6,2,9,2
30,Hotel_0030,Chennai,Luxury,6545.0,4.0,142.0,"Room Service,Spa,Gym,Bar,Parking",5,8892.0,Bangalore,Boutique,1,2,2,1,0
31,Hotel_0031,Chennai,Luxury,16254.0,3.3,111.0,"Parking,Spa",2,3586.0,Mumbai,Budget,0,2,2,8,1
32,Hotel_0032,Chennai,Mid-range,3454.0,3.8,241.0,"Spa,Bar,Pool,Parking,Concierge,Gym",6,10401.0,Mumbai,Budget,0,2,3,8,1
33,Hotel_0033,Hyderabad,Budget,1757.0,2.7,111.0,"Pool,Room Service,Restaurant",3,12931.0,Udaipur,Mid-range,0,5,1,9,3
34,Hotel_0034,Chennai,Luxury,7550.0,4.8,1236.0,"Restaurant,Concierge,Parking,Spa,Gym,WiFi",6,4033.0,Udaipur,Mid-range,0,2,2,9,3
35,Hotel_0035,Delhi,Boutique,3698.0,3.3,273.0,"Gym,Parking,WiFi,Concierge",4,15112.0,Kolkata,Boutique,0,3,0,7,0
36,Hotel_0036,Mumbai,Budget,2425.0,5.0,1217.0,"Concierge,Pool,Beach Access,Gym,Room Service",5,4720.0,Chennai,Mid-range,1,8,1,2,3
37,Hotel_0037,Udaipur,Boutique,8617.0,3.8,360.0,"Concierge,Bar,Room Service",3,8307.0,Bangalore,Mid-range,0,9,0,1,3
38,Hotel_0038,Hyderabad,Boutique,4080.0,3.8,1945.0,"Concierge,Gym,Restaurant,Pool",4,10272.0,Hyderabad,Mid-range,0,5,0,5,3
39,Hotel_0039,Delhi,Mid-range,3489.0,3.8,1454.0,"Parking,Room Service,Spa,Pool,Bar",5,13693.0,Chennai,Mid-range,0,3,3,2,3
40,Hotel_0040,Mumbai,Resort,11360.0,3.8,755.0,"Concierge,Pool,Bar",3,5207.0,Kolkata,Boutique,0,8,4,7,0
41,Hotel_0041,Bangalore,Budget,1471.0,3.4,863.0,"Bar,Spa",2,7041.0,Mumbai,Budget,0,1,1,8,1
42,Hotel_0042,Chennai,Resort,12952.0,3.9,139.0,"Parking,Concierge",2,14806.0,Chennai,Luxury,0,2,4,2,2
43,Hotel_0043,Chennai,Resort,13577.0,4.0,119.0,"WiFi,Spa,Gym,Parking",4,6938.0,Kolkata,Resort,0,2,4,7,4
44,Hotel_0044,Delhi,Mid-range,4352.0,3.3,1079.0,"Spa,Restaurant,Bar,Parking",4,11667.0,Hyderabad,Budget,0,3,3,5,1
45,Hotel_0045,Delhi,Budget,1121.0,3.7,55.0,"Parking,Room Service,Bar",3,8063.0,Delhi,Budget,0,3,1,3,1
46,Hotel_0046,Bangalore,Boutique,9179.0,3.4,1280.0,"Gym,Concierge,Spa,WiFi,Restaurant,Beach Access",6,2433.0,Mumbai,Boutique,0,1,0,8,0
47,Hotel_0047,Jaipur,Luxury,16187.0,5.0,984.0,"Spa,Parking,Concierge,WiFi",4,9988.0,Udaipur,Mid-range,0,6,2,9,3
48,Hotel_0048,Bangalore,Boutique,8323.0,3.7,287.0,"Gym,WiFi,Restaurant,Spa",4,7404.0,Goa,Mid-range,0,1,0,4,3
49,Hotel_0049,Jaipur,Resort,10881.0,4.9,1076.0,"Bar,Room Service,Parking,Beach Access,Gym",5,5871.0,Jaipur,Mid-range,0,6,4,6,3
50,Hotel_0050,Mumbai,Resort,20038.0,3.7,1110.0,"WiFi,Beach Access,Concierge,Spa,Gym,Room Service",6,15664.0,Kolkata,Budget,0,8,4,7,1
51,Hotel_0051,Agra,Resort,22216.0,4.0,1495.0,"Concierge,WiFi,Gym,Restaurant,Bar",5,14275.0,Jaipur,Budget,0,0,4,6,1
52,Hotel_0052,Udaipur,Budget,1097.0,2.9,403.0,"Beach Access,Parking,Bar,Pool",4,6077.0,Agra,Budget,0,9,1,0,1
53,Hotel_0053,Goa,Mid-range,5129.0,3.5,1099.0,"Spa,Gym,Parking",3,10143.0,Udaipur,Luxury,0,4,3,9,2
54,Hotel_0054,Udaipur,Luxury,11007.0,3.9,1691.0,"Spa,Beach Access,Concierge",3,13375.0,Goa,Luxury,0,9,2,4,2
55,Hotel_0055,Chennai,Luxury,17026.0,4.9,547.0,"Parking,Beach Access,Concierge,Spa,Restaurant,Gym",6,2378.0,Delhi,Mid-range,0,2,2,3,3
56,Hotel_0056,Mumbai,Budget,1613.0,4.0,1671.0,"WiFi,Restaurant,Gym,Pool,Bar,Parking",6,3047.0,Agra,Boutique,1,8,1,0,0
57,Hotel_0057,Bangalore,Luxury,17230.0,4.8,1449.0,"Beach Access,Gym",2,10409.0,Hyderabad,Mid-range,0,1,2,5,3
58,Hotel_0058,Mumbai,Budget,1050.0,4.2,864.0,"Room Service,Bar,Gym,Beach Access,Restaurant",5,16853.0,Hyderabad,Budget,1,8,1,5,1
59,Hotel_0059,Hyderabad,Resort,14614.0,4.9,1767.0,"Concierge,Parking,Spa,Gym",4,16803.0,Jaipur,Budget,1,5,4,6,1
60,Hotel_0060,Hyderabad,Resort,12648.0,3.8,984.0,"WiFi,Concierge,Restaurant,Bar,Room Service",5,8914.0,Jaipur,Resort,0,5,4,6,4
61,Hotel_0061,Kolkata,Boutique,4738.0,3.8,481.0,"Gym,Spa,WiFi,Restaurant",4,13116.0,Delhi,Luxury,0,7,0,3,2
62,Hotel_0062,Mumbai,Resort,13241.0,3.5,1959.0,"Parking,Gym,Room Service,Restaurant,Beach Access",5,9610.0,Jaipur,Mid-range,0,8,4,6,3
63,Hotel_0063,Bangalore,Mid-range,3838.0,3.3,14.0,"Pool,Bar,Restaurant,Beach Access",4,16427.0,Chennai,Mid-range,0,1,3,2,3
64,Hotel_0064,Jaipur,Boutique,3890.0,3.0,267.0,"Parking,Pool,Restaurant,Beach Access",4,10902.0,Delhi,Mid-range,0,6,0,3,3
65,Hotel_0065,Delhi,Luxury,15899.0,5.0,95.0,"WiFi,Bar,Spa",3,16206.0,Kolkata,Luxury,1,3,2,7,2
66,Hotel_0066,Delhi,Mid-range,4425.0,4.4,741.0,"Gym,Beach Access,Concierge,Room Service",4,7496.0,Kolkata,Resort,1,3,3,7,4
67,Hotel_0067,Goa,Boutique,8804.0,3.6,1874.0,"Beach Access,Gym,Room Service",3,16862.0,Udaipur,Resort,0,4,0,9,4
68,Hotel_0068,Chennai,Mid-range,4967.0,4.7,1204.0,"Restaurant,Bar,Pool,Spa,WiFi",5,13467.0,Mumbai,Resort,1,2,3,8,4
69,Hotel_0069,Mumbai,Budget,1053.0,4.3,1236.0,"Bar,Gym,Pool,Room Service,Beach Access,WiFi",6,14166.0,Bangalore,Budget,1,8,1,1,1
70,Hotel_0070,Agra,Luxury,6979.0,5.0,178.0,"Bar,Concierge,Pool,Gym,Spa,WiFi",6,1740.0,Jaipur,Luxury,0,0,2,6,2
71,Hotel_0071,Jaipur,Resort,15187.0,2.7,1037.0,"Bar,Concierge",2,14805.0,Udaipur,Resort,0,6,4,9,4
72,Hotel_0072,Delhi,Budget,1617.0,3.6,771.0,"Beach Access,Bar,WiFi,Restaurant,Concierge,Room Service",6,4176.0,Bangalore,Mid-range,0,3,1,1,3
73,Hotel_0073,Mumbai,Luxury,9363.0,3.5,964.0,"Parking,Concierge,Restaurant,Room Service,Bar,WiFi",6,16947.0,Agra,Luxury,0,8,2,0,2
74,Hotel_0074,Agra,Budget,2129.0,2.4,529.0,"Spa,Gym,Pool,Beach Access,WiFi,Concierge",6,4615.0,Agra,Budget,0,0,1,0,1
75,Hotel_0075,Chennai,Resort,17886.0,4.5,411.0,"Pool,Gym,Restaurant,Bar",4,15128.0,Mumbai,Boutique,1,2,4,8,0
76,Hotel_0076,Udaipur,Luxury,16471.0,3.6,1904.0,"Concierge,Restaurant,Spa,WiFi,Parking",5,11983.0,Goa,Resort,0,9,2,4,4
77,Hotel_0077,Hyderabad,Mid-range,2881.0,4.3,1121.0,"Bar,Restaurant,Parking",3,7977.0,Bangalore,Resort,1,5,3,1,4
78,Hotel_0078,Agra,Mid-range,5352.0,5.0,829.0,"Spa,Beach Access,WiFi,Bar",4,16194.0,Jaipur,Luxury,1,0,3,6,2
79,Hotel_0079,Udaipur,Luxury,8885.0,3.6,156.0,"Bar,Spa,Restaurant,WiFi,Pool",5,7905.0,Agra,Resort,0,9,2,0,4
80,Hotel_0080,Hyderabad,Resort,15620.0,3.5,1527.0,"Gym,Bar,Beach Access",3,2550.0,Goa,Luxury,0,5,4,4,2
81,Hotel_0081,Udaipur,Boutique,6545.0,3.9,950.0,"Beach Access,Parking,Restaurant",3,2747.0,Kolkata,Boutique,0,9,0,7,0
82,Hotel_0082,Udaipur,Luxury,17487.0,4.5,779.0,"Beach Access,Room Service,Restaurant",3,15565.0,Delhi,Mid-range,1,9,2,3,3
83,Hotel_0083,Bangalore,Budget,1270.0,3.4,1337.0,"Spa,Beach Access",2,7843.0,Chennai,Boutique,0,1,1,2,0
84,Hotel_0084,Chennai,Boutique,4685.0,3.4,272.0,"Bar,Pool",2,15021.0,Goa,Resort,0,2,0,4,4
85,Hotel_0085,Agra,Resort,13773.0,4.5,1071.0,"Bar,Concierge,Room Service,Beach Access",4,1830.0,Agra,Boutique,0,0,4,0,0
86,Hotel_0086,Udaipur,Resort,14133.0,4.1,1727.0,"WiFi,Room Service,Spa,Bar",4,2764.0,Hyderabad,Budget,0,9,4,5,1
87,Hotel_0087,Delhi,Budget,1108.0,2.4,933.0,"Parking,Bar,Beach Access,Room Service,Gym",5,17803.0,Bangalore,Luxury,0,3,1,1,2
88,Hotel_0088,Delhi,Mid-range,3117.0,2.9,10.0,"Bar,Restaurant,Pool",3,3863.0,Kolkata,Resort,0,3,3,7,4
89,Hotel_0089,Bangalore,Resort,11932.0,4.9,467.0,"Gym,Concierge,Parking",3,12846.0,Goa,Resort,1,1,4,4,4
90,Hotel_0090,Hyderabad,Boutique,6272.0,4.1,121.0,"Gym,Pool,Bar,Parking,WiFi",5,7275.0,Jaipur,Resort,1,5,0,6,4
91,Hotel_0091,Goa,Luxury,10806.0,3.3,984.0,"WiFi,Room Service,Concierge,Pool,Bar",5,9751.0,Jaipur,Resort,0,4,2,6,4
92,Hotel_0092,Kolkata,Boutique,6545.0,3.7,735.0,"Bar,Gym",2,3392.0,Udaipur,Mid-range,0,7,0,9,3
93,Hotel_0093,Delhi,Boutique,8033.0,3.8,273.0,"Pool,Gym,Restaurant,Concierge",4,5902.0,Bangalore,Boutique,0,3,0,1,0
94,Hotel_0094,Mumbai,Mid-range,6545.0,4.3,1376.0,"Parking,Bar,Pool,Beach Access,Gym,Concierge",6,14011.0,Mumbai,Luxury,1,8,3,8,2
95,Hotel_0095,Hyderabad,Boutique,9369.0,2.8,984.0,"Beach Access,Parking,Spa,Bar,Concierge",5,10338.0,Delhi,Boutique,0,5,0,3,0
96,Hotel_0096,Bangalore,Mid-range,5131.0,3.8,689.0,"Bar,Pool,Concierge",3,9817.0,Udaipur,Luxury,0,1,3,9,2
97,Hotel_0097,Mumbai,Mid-range,3111.0,4.0,1975.0,"Concierge,Parking,Room Service",3,17090.0,Bangalore,Luxury,1,8,3,1,2
98,Hotel_0098,Bangalore,Resort,13335.0,3.7,141.0,"Concierge,Bar",2,8277.0,Mumbai,Luxury,0,1,4,8,2
99,Hotel_0099,Goa,Resort,11120.0,4.2,502.0,"Spa,WiFi,Bar,Parking",4,14760.0,Jaipur,Boutique,1,4,4,6,0
100,Hotel_0100,Jaipur,Budget,1263.0,2.9,642.0,"Restaurant,Pool,Parking",3,13461.0,Udaipur,Boutique,0,6,1,9,0
101,Hotel_0101,Udaipur,Boutique,5558.0,4.0,1022.0,"Bar,Room Service,Beach Access",3,9102.0,Udaipur,Luxury,1,9,0,9,2
102,Hotel_0102,Delhi,Budget,1022.0,4.6,497.0,"Beach Access,Bar,Room Service,Spa",4,6332.0,Agra,Luxury,1,3,1,0,2
103,Hotel_0103,Kolkata,Boutique,3101.0,4.1,1940.0,"Room Service,Restaurant",2,7342.0,Kolkata,Budget,0,7,0,7,1
104,Hotel_0104,Bangalore,Budget,6545.0,3.9,20.0,"Parking,Concierge,Beach Access",3,15880.0,Udaipur,Budget,0,1,1,9,1
105,Hotel_0105,Jaipur,Resort,19916.0,3.8,1896.0,"Parking,Spa,Concierge,Bar,Restaurant,Beach Access",6,6546.0,Hyderabad,Resort,0,6,4,5,4
106,Hotel_0106,Bangalore,Resort,13150.0,3.2,1074.0,"Room Service,WiFi,Spa",3,12290.0,Mumbai,Mid-range,0,1,4,8,3
107,Hotel_0107,Goa,Resort,22627.0,3.7,86.0,"Beach Access,Spa",2,3554.0,Jaipur,Luxury,0,4,4,6,2
108,Hotel_0108,Chennai,Resort,14277.0,4.7,242.0,"Spa,Pool,Gym,Bar",4,7217.0,Chennai,Resort,0,2,4,2,4
109,Hotel_0109,Chennai,Luxury,18611.0,3.7,215.0,"Beach Access,Room Service",2,16919.0,Jaipur,Mid-range,0,2,2,6,3
110,Hotel_0110,Delhi,Resort,12011.0,3.2,582.0,"WiFi,Beach Access,Bar,Room Service",4,10407.0,Udaipur,Mid-range,0,3,4,9,3
111,Hotel_0111,Delhi,Mid-range,4387.0,3.5,672.0,"Room Service,Spa,Bar",3,15070.0,Agra,Budget,0,3,3,0,1
112,Hotel_0112,Bangalore,Resort,20973.0,3.9,1285.0,"Beach Access,Parking,Concierge",3,5780.0,Chennai,Resort,0,1,4,2,4
113,Hotel_0113,Udaipur,Luxury,6826.0,3.5,629.0,"Gym,Spa",2,14060.0,Mumbai,Luxury,0,9,2,8,2
114,Hotel_0114,Goa,Luxury,19020.0,4.1,1452.0,"Restaurant,Beach Access,Pool,Bar",4,17752.0,Goa,Budget,1,4,2,4,1
115,Hotel_0115,Chennai,Luxury,11109.0,4.2,594.0,"Pool,Beach Access,Restaurant,Parking",4,16764.0,Delhi,Luxury,1,2,2,3,2
116,Hotel_0116,Jaipur,Luxury,12971.0,4.4,534.0,"Restaurant,Spa",2,8687.0,Jaipur,Budget,0,6,2,6,1
117,Hotel_0117,Goa,Budget,1868.0,4.8,557.0,"Gym,Concierge,Spa,Room Service,Parking",5,12749.0,Bangalore,Resort,1,4,1,1,4
118,Hotel_0118,Mumbai,Budget,1893.0,4.5,665.0,"Bar,Parking",2,16296.0,Mumbai,Mid-range,0,8,1,8,3
119,Hotel_0119,Jaipur,Mid-range,2582.0,3.1,1677.0,"Room Service,Parking",2,14925.0,Delhi,Mid-range,0,6,3,3,3
120,Hotel_0120,Agra,Budget,2274.0,3.2,501.0,"Beach Access,Concierge,WiFi,Parking",4,17637.0,Jaipur,Boutique,0,0,1,6,0
121,Hotel_0121,Agra,Luxury,14730.0,3.7,553.0,"Pool,WiFi,Room Service,Restaurant,Beach Access,Parking",6,2016.0,Delhi,Resort,0,0,2,3,4
122,Hotel_0122,Goa,Resort,24980.0,3.5,1914.0,"Beach Access,Concierge,Bar,Pool",4,10340.0,Mumbai,Resort,0,4,4,8,4
123,Hotel_0123,Chennai,Resort,16015.0,3.0,1310.0,"Room Service,Restaurant,Bar",3,14560.0,Bangalore,Resort,0,2,4,1,4
124,Hotel_0124,Bangalore,Luxury,14589.0,3.5,389.0,"Bar,Room Service,Beach Access",3,13544.0,Kolkata,Luxury,0,1,2,7,2
125,Hotel_0125,Agra,Boutique,6087.0,3.5,1737.0,"Parking,Room Service,Restaurant,Beach Access,WiFi",5,4033.0,Kolkata,Budget,0,0,0,7,1
126,Hotel_0126,Chennai,Luxury,18456.0,3.3,374.0,"Parking,WiFi,Pool,Bar",4,10942.0,Goa,Mid-range,0,2,2,4,3
127,Hotel_0127,Agra,Budget,2215.0,3.6,332.0,"Concierge,Room Service,Spa,Pool,Restaurant",5,4228.0,Kolkata,Boutique,0,0,1,7,0
128,Hotel_0128,Udaipur,Resort,23446.0,4.6,895.0,"Bar,Beach Access,Pool,WiFi,Spa,Concierge",6,3010.0,Delhi,Boutique,0,9,4,3,0
129,Hotel_0129,Goa,Luxury,13059.0,3.9,1385.0,"Bar,Spa,WiFi,Parking,Beach Access",5,3340.0,Hyderabad,Resort,0,4,2,5,4
130,Hotel_0130,Jaipur,Resort,21454.0,5.0,984.0,"Bar,Pool,Beach Access,Parking,Restaurant",5,17214.0,Mumbai,Boutique,1,6,4,8,0
131,Hotel_0131,Chennai,Luxury,11023.0,3.9,1509.0,"Bar,Room Service,Beach Access,WiFi,Spa",5,5989.0,Delhi,Boutique,0,2,2,3,0
132,Hotel_0132,Bangalore,Luxury,12453.0,3.6,321.0,"Pool,WiFi,Spa",3,9034.0,Agra,Mid-range,0,1,2,0,3
133,Hotel_0133,Udaipur,Budget,2092.0,3.8,1565.0,"Gym,Room Service",2,5730.0,Jaipur,Resort,0,9,1,6,4
134,Hotel_0134,Chennai,Luxury,7136.0,4.0,200.0,"Restaurant,Concierge,Room Service,WiFi",4,16252.0,Chennai,Resort,1,2,2,2,4
135,Hotel_0135,Bangalore,Resort,20078.0,4.1,934.0,"Gym,Spa,Beach Access",3,16166.0,Goa,Budget,1,1,4,4,1
136,Hotel_0136,Jaipur,Mid-range,2555.0,5.0,1283.0,"WiFi,Pool,Concierge,Parking,Spa",5,12317.0,Kolkata,Boutique,1,6,3,7,0
137,Hotel_0137,Udaipur,Resort,17871.0,3.2,538.0,"Room Service,Pool,Beach Access,Concierge,Bar",5,15172.0,Hyderabad,Luxury,0,9,4,5,2
138,Hotel_0138,Jaipur,Budget,1611.0,4.4,1228.0,"Room Service,Bar,Concierge,Pool,Beach Access",5,3235.0,Hyderabad,Mid-range,1,6,1,5,3
139,Hotel_0139,Hyderabad,Mid-range,4140.0,3.9,1380.0,"Concierge,Spa,Restaurant",3,17999.0,Bangalore,Luxury,0,5,3,1,2
140,Hotel_0140,Agra,Luxury,12920.0,2.7,1303.0,"Parking,Spa,Beach Access",3,8381.0,Kolkata,Mid-range,0,0,2,7,3
141,Hotel_0141,Goa,Boutique,6443.0,4.3,799.0,"Spa,Concierge,Room Service,Parking,WiFi,Pool",6,8108.0,Hyderabad,Mid-range,1,4,0,5,3
142,Hotel_0142,Agra,Mid-range,3925.0,3.8,984.0,"Restaurant,Room Service,Beach Access",3,4731.0,Jaipur,Luxury,0,0,3,6,2
143,Hotel_0143,Jaipur,Mid-range,4079.0,3.2,1466.0,"Parking,Pool,Concierge,Room Service,Restaurant,WiFi",6,15971.0,Goa,Boutique,0,6,3,4,0
144,Hotel_0144,Chennai,Luxury,13954.0,3.8,659.0,"WiFi,Restaurant",2,4302.0,Kolkata,Luxury,0,2,2,7,2
145,Hotel_0145,Hyderabad,Boutique,8344.0,2.6,1469.0,"Pool,Beach Access,Gym",3,15655.0,Chennai,Mid-range,0,5,0,2,3
146,Hotel_0146,Mumbai,Boutique,6545.0,2.9,1837.0,"Gym,Bar,Spa",3,13298.0,Bangalore,Resort,0,8,0,1,4
147,Hotel_0147,Hyderabad,Budget,1892.0,4.5,1635.0,"Bar,Beach Access,Gym,Room Service,Spa",5,14238.0,Agra,Mid-range,1,5,1,0,3
148,Hotel_0148,Chennai,Mid-range,5428.0,3.5,1469.0,"Spa,Bar,Pool,Restaurant",4,1995.0,Chennai,Luxury,0,2,3,2,2
149,Hotel_0149,Kolkata,Boutique,9926.0,3.0,1535.0,"Beach Access,Gym,Restaurant",3,13684.0,Chennai,Mid-range,0,7,0,2,3
150,Hotel_0150,Agra,Budget,984.0,4.0,1611.0,"Pool,Concierge,Spa,Parking,Gym",5,17441.0,Bangalore,Mid-range,1,0,1,1,3
151,Hotel_0151,Jaipur,Boutique,7990.0,3.4,585.0,"Spa,Gym",2,8006.0,Kolkata,Mid-range,0,6,0,7,3
152,Hotel_0152,Agra,Mid-range,3288.0,3.5,1444.0,"Gym,Restaurant,Bar,Pool,Room Service,Parking",6,8923.0,Agra,Mid-range,0,0,3,0,3
153,Hotel_0153,Chennai,Boutique,4377.0,4.3,406.0,"Beach Access,Parking,Bar,Room Service,Restaurant,Pool",6,3348.0,Hyderabad,Boutique,0,2,0,5,0
154,Hotel_0154,Bangalore,Mid-range,5275.0,3.0,723.0,"Bar,Spa,Restaurant,Parking,Pool",5,9581.0,Chennai,Resort,0,1,3,2,4
155,Hotel_0155,Kolkata,Luxury,6961.0,3.2,1869.0,"Parking,WiFi,Beach Access,Pool,Spa,Bar",6,12612.0,Kolkata,Resort,0,7,2,7,4
156,Hotel_0156,Delhi,Resort,22413.0,3.9,573.0,"Beach Access,Spa,Room Service,Restaurant,Gym",5,6440.0,Bangalore,Budget,0,3,4,1,1
157,Hotel_0157,Udaipur,Budget,6545.0,3.8,1688.0,"Pool,Bar",2,13732.0,Mumbai,Budget,0,9,1,8,1
158,Hotel_0158,Delhi,Luxury,19927.0,4.7,850.0,"Parking,Restaurant,Room Service,Concierge,Spa,WiFi",6,2912.0,Kolkata,Mid-range,0,3,2,7,3
159,Hotel_0159,Jaipur,Luxury,15351.0,3.3,427.0,"Pool,WiFi,Beach Access",3,12622.0,Delhi,Boutique,0,6,2,3,0
160,Hotel_0160,Udaipur,Resort,22839.0,4.5,203.0,"Beach Access,Spa,Gym,Bar,Room Service",5,11206.0,Mumbai,Budget,0,9,4,8,1
161,Hotel_0161,Mumbai,Boutique,3829.0,3.3,1100.0,"Spa,Pool,Room Service,Bar,Parking,Beach Access",6,5289.0,Hyderabad,Resort,0,8,0,5,4
162,Hotel_0162,Jaipur,Resort,23128.0,5.0,908.0,"Pool,WiFi,Beach Access",3,7188.0,Jaipur,Boutique,0,6,4,6,0
163,Hotel_0163,Chennai,Luxury,8244.0,3.8,1027.0,"Pool,Parking",2,5458.0,Udaipur,Mid-range,0,2,2,9,3
164,Hotel_0164,Goa,Luxury,10400.0,4.7,95.0,"Gym,Room Service,Restaurant,Concierge,Bar",5,11797.0,Udaipur,Budget,1,4,2,9,1
165,Hotel_0165,Kolkata,Luxury,7794.0,3.3,543.0,"Gym,Spa,Pool",3,12007.0,Delhi,Budget,0,7,2,3,1
166,Hotel_0166,Goa,Boutique,5811.0,5.0,17.0,"Pool,WiFi",2,10670.0,Hyderabad,Budget,0,4,0,5,1
167,Hotel_0167,Goa,Mid-range,5121.0,4.2,611.0,"Parking,Gym,Pool,Restaurant",4,4701.0,Goa,Boutique,1,4,3,4,0
168,Hotel_0168,Bangalore,Budget,1255.0,3.1,1863.0,"Room Service,Beach Access,Restaurant",3,5079.0,Hyderabad,Resort,0,1,1,5,4
169,Hotel_0169,Kolkata,Mid-range,5377.0,3.4,313.0,"Beach Access,Pool,Concierge,Restaurant,Bar,Spa",6,14879.0,Mumbai,Resort,0,7,3,8,4
170,Hotel_0170,Udaipur,Budget,1830.0,4.3,1381.0,"Gym,Room Service",2,9117.0,Jaipur,Budget,0,9,1,6,1
171,Hotel_0171,Delhi,Budget,6545.0,4.5,984.0,"Spa,Room Service",2,8687.0,Kolkata,Boutique,0,3,1,7,0
